name,products,loyalty_card
James Davis,Soda; Broccoli; Tea; Chocolate; Cheese; Rice; Strawberry; Salt; Water; Shampoo,True
Laura Williams,Sugar; Milk; Toothpaste; Soap; Olive Oil; Orange,False
Sara Davis,Soda; Chicken; Pork; Olive Oil; Tea; Strawberry,False
Katie Brown,Bread; Shrimp; Toothpaste; Chicken; Cookies; Fish; Pork; Strawberry; Yogurt,False
James Miller,Pasta; Cereal; Oatmeal,True
James Miller,Milk; Yogurt; Ice Cream; Bread; Shrimp; Blueberry,True
James Taylor,Butter; Banana; Lettuce; Cereal,True
Chris Wilson,Carrot; Oatmeal; Coffee; Yogurt; Chips; Milk; Shrimp; Bread,True
Robert Moore,Oatmeal; Blueberry; Lotion; Banana; Pasta,True
Alex Johnson,Bread; Blueberry; Eggs; Salt; Oatmeal; Water; Strawberry; Banana,True
Laura Williams,Fish; Broccoli; Deodorant; Beef; Blueberry; Candy; Salt,True
John Taylor,Oatmeal; Shrimp,False
Jane Moore,Shampoo; Olive Oil; Shrimp; Soap; Coffee; Butter,False
James Williams,Rice; Flour; Soap; Shampoo; Ice Cream; Apple; Juice,False
David Wilson,Banana,True
David Taylor,Coffee; Tomato; Shampoo; Blueberry,True
James Davis,Cookies; Ice Cream; Tea,True
Laura Davis,Tomato; Orange; Oatmeal,False
Chris Moore,Sugar; Flour,False
Sara Wilson,Lettuce; Strawberry; Cookies; Carrot; Sugar; Oatmeal; Eggs; Salt; Soap; Flour,True
Chris Miller,Cereal; Soda; Soap; Salt; Beef; Butter; Olive Oil; Bread,False
Sara Moore,Sugar; Cookies; Olive Oil; Ice Cream; Tomato; Cheese,False
Alex Williams,Cereal; Broccoli; Lotion,False
Robert Jones,Carrot; Lotion; Deodorant; Cookies; Spinach; Ice Cream; Pork,True
Chris Brown,Strawberry; Juice; Apple; Sugar,True
Katie Jones,Strawberry; Rice; Olive Oil; Apple; Banana; Chocolate; Broccoli; Pepper; Coffee,False
Sara Smith,Rice; Shampoo; Eggs,False
Katie Jones,Eggs; Olive Oil; Pasta; Butter; Coffee; Pepper,False
Katie Taylor,Chicken; Bread; Beef; Eggs; Cereal; Ice Cream; Juice; Candy,False
Sara Moore,Coffee; Tea; Shrimp; Broccoli; Tomato; Soap; Pepper; Strawberry; Fish,True
Alex Davis,Ice Cream; Shampoo; Beef; Oatmeal; Cereal; Spinach; Salt; Tea; Juice; Toothpaste,False
David Miller,Lotion; Lettuce,False
Sara Taylor,Flour; Apple; Blueberry,True
Sara Taylor,Ice Cream; Toothpaste,True
David Williams,Apple; Toothpaste; Shrimp; Tea,True
Chris Smith,Chocolate; Bread,False
Jane Brown,Rice; Broccoli; Pork; Shrimp; Coffee; Shampoo,False
David Jones,Blueberry; Pasta; Soap; Flour,False
Chris Moore,Deodorant; Sugar; Tomato; Chocolate; Soap; Broccoli; Shrimp; Candy; Orange; Ice Cream,True
Laura Miller,Soap; Soda; Sugar; Bread,False
Jane Davis,Deodorant; Pepper; Olive Oil; Strawberry; Yogurt; Beef,False
