car_make,car_model,car_year,car_vin,car_color,car_price,car_mileage,car_condition,car_owner,car_purchase_date,car_insurance_provider,car_insurance_policy_number,car_service_history,car_accidents
Toyota,Avalon,2013,JTJYWRBZ8F2334918,Mauv,37209.01,32577,certified pre-owned,Granville Squibe,5/28/2018,Livefish,317812,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",9
Toyota,Camry,1952,WAUKFAFL6CA509875,Turquoise,44496.32,43440,used,Paco Bangle,5/27/2004,Skyvu,208036,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",8
Chrysler,Sebring,1997,WBA5A5C52FD171998,Khaki,29910.0,143962,certified pre-owned,Winne Grigori,12/27/2022,Digitube,861310,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,10
Volvo,XC60,1975,WBADX7C57BE352833,Maroon,54947.64,76904,used,Tedda Gilders,4/22/2012,Browsedrive,782183,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",4
GMC,Yukon XL 1500,1990,1N6AA0CH1DN980735,Green,99733.69,71597,used,Frederich Chalcot,7/3/2001,Twitterworks,916738,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1
Lotus,Esprit,2005,WDDHF0EB5FB839401,Blue,82858.97,209739,new,Lewie Bour,5/31/2021,Dablist,771591,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,1
Volkswagen,CC,1930,WA1DGBFE2ED021728,Teal,36481.66,201391,used,Shaughn Starkie,5/28/2018,Oyondu,297760,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",2
Ford,F350,1953,WAUKFBFL7BN048571,Green,10691.86,199911,new,Darline Djokovic,8/8/2000,Thoughtbridge,840740,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",7
Toyota,Prius,1946,WAUJC58E75A001928,Blue,13279.17,21598,used,Luther Maryet,4/10/2015,Devbug,341804,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",4
GMC,Savana 3500,2007,KM8JT3AC1AU838243,Red,24361.13,43186,new,Damaris Kondratovich,8/16/2010,Wikizz,685278,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2
